source_key,candidate_key,claim_key,polarity,confidence,grounding_strength,value,citations,retrieved_at,llm_model
retinyl-palmitate-vitamin-a,vitamin-a-retinyl-palmitate,functional_equivalence,supports,0.9,grounded,"Vitamin A retinyl palmitate serves the same formulation role as retinyl palmitate vitamin A, as both are forms of vitamin A and can be used interchangeably in formulations.","[""https://en.wikipedia.org/wiki/Retinyl_palmitate"", ""https://royed.in/conversion-of-vitamin-a-retinol-to-vitamin-a-palmitate/""]",2026-04-18T07:00:34.840281+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a-retinyl-palmitate,typical_suppliers,supports,0.8,grounded,"Common suppliers of vitamin A retinyl palmitate include BASF, Royal DSM, and Cayman Chemical, which provide this ingredient at industrial grade.","[""https://www.pharmacompass.com/manufacturers-suppliers-exporters/vitamin-a-palmitate"", ""https://www.caymanchem.com/product/23796/retinyl-palmitate?srsltid=AfmBOopX8Mfql-xAQMu4qvcpTpF_2zFzmW9yPkgsMBQdTCAhALtQ6YG9""]",2026-04-18T07:00:34.840281+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a-retinyl-palmitate,certification,supports,0.7,grounded,"Vitamin A retinyl palmitate is certified GMO-free and complies with organic standards in some cases, as indicated by various suppliers.","[""https://www.makingcosmetics.com/on/demandware.static/-/Sites-makingcosmetics-master/default/dw562252d7/certificate-of-analysis/coa-vitamin-a-retinyl-palmitate2.pdf""]",2026-04-18T07:00:34.840281+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a,functional_equivalence,supports,0.7,grounded,"Vitamin A serves a similar role as retinyl palmitate in formulations, as both are forms of vitamin A used for their biological effects.","[""https://en.wikipedia.org/wiki/Retinyl_palmitate""]",2026-04-18T07:00:59.665421+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a,certification,supports,0.8,grounded,"Vitamin A can be found in products that are certified organic, kosher, and halal, ensuring compliance with various dietary laws.","[""https://reliancevitamin.com/certifications-of-quality/""]",2026-04-18T07:00:59.665421+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a,regulatory,supports,0.9,grounded,"Vitamin A is recognized as GRAS (Generally Recognized as Safe) by the FDA, allowing its use in food products under specific guidelines.","[""https://www.fda.gov/food/food-ingredients-packaging/generally-recognized-safe-gras""]",2026-04-18T07:00:59.665421+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a-acetate,functional_equivalence,supports,0.8,grounded,"Vitamin A acetate can serve the same formulation role as retinyl palmitate vitamin A, as both are used in similar applications and provide retinol activity equivalents.","[""https://en.wikipedia.org/wiki/Retinyl_acetate"", ""https://health.ec.europa.eu/publications/vitamin-retinol-retinyl-acetate-retinyl-palmitate_en""]",2026-04-18T07:01:18.500674+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a-acetate,certification,supports,0.9,grounded,"Vitamin A acetate is available from suppliers with various certifications including GMP, Halal, Kosher, and Non-GMO.","[""https://www.nutriavenue.com/ingredients/best-vitamin-a-acetate-powder/"", ""https://www.richtekltd.com/FishOil_05_06201630_6_06251011_567_06301112_751_07021406_560""]",2026-04-18T07:01:18.500674+00:00,gpt-4o-mini
retinyl-palmitate-vitamin-a,vitamin-a-acetate,regulatory,supports,0.9,grounded,"Vitamin A acetate is recognized as GRAS (Generally Recognized As Safe) by the FDA, allowing its use in food and cosmetics.","[""https://www.fda.gov/food/food-ingredients-packaging/generally-recognized-safe-gras"", ""https://www.thegoodscentscompany.com/data/rw1309561.html""]",2026-04-18T07:01:18.500674+00:00,gpt-4o-mini
vitamin-a-retinyl-palmitate,retinyl-palmitate-vitamin-a,functional_equivalence,supports,0.8,grounded,"Retinyl palmitate vitamin A serves the same formulation role as vitamin A retinyl palmitate in consumer products, as both are forms of vitamin A used for similar benefits.","[""https://xtendlife.com/blogs/supplement-ingredients/vitamin-a-retinyl-palmitate?srsltid=AfmBOorvDnGsQ6X86QUEjQDd743EltO7wHIGM00177DtDYK2uR6txSA8"", ""https://en.wikipedia.org/wiki/Retinyl_palmitate""]",2026-04-18T07:01:41.446457+00:00,gpt-4o-mini
